Summary data collected by the Greenhouse Gas Reporting Program for 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/16/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab),,,,,,,,,,,,,,Total Direct Emissions from Local Distribution Companies by Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,State where Emissions Occur,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Local Distribution Companies,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,Does the facility employ continuous emissions monitoring? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006387,110071161364,"Black Hills Nebraska Gas, LLC. dba Black Hills Energy",NE,Lincoln,NE,68512,1600 Windhoek Drive,LANCASTER COUNTY,40.7587,-96.69715,221210,"NN-LDC,W-LDC",42427.1,51.1,42376,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002481,110071161353,Boston Gas Company,MA,Waltham,MA,02451,40 Sylvan Road,MIDDLESEX COUNTY,42.397671,-71.270903,221210,"NN-LDC,W-LDC",343374.9,413.4,342961.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004115,110071160443,CON EDISON - NATURAL GAS DELIVERY SYSTEM,NY,New York,NY,10003,"4 Irving Place, Rm 1634",NEW YORK COUNTY,40.734108,-73.98868,221210,"NN-LDC,W-LDC",186000.098,810.3,185189.5,0.298,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004450,,CPS Energy Natural Gas System,TX,San Antonio,TX,78205,145 Navarro,,29.42243,-98.49045,221210,"NN-LDC,W-LDC",29879.5,36,29843.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011331,,Cairo Public Utility,IL,Cairo,IL,62914,1100 Commercial Ave,,37.00249,-89.16794,221210,"NN-LDC,W-LDC",544.95,0.7,544.25,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006497,110071161161,Cascade Natural Gas Coporation - Washington,WA,Kennewick,WA,99336,8113 W Grandridge Blvd,BENTON COUNTY,46.21929,-119.22946,221210,"NN-LDC,W-LDC",27197.988,3025.2,24171,1.788,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007941,110071160499,Cedar Falls Municipal Gas Utility,IA,Cedar Falls,IA,50613,1 Utility Parkway,BLACK HAWK COUNTY,42.52737,-92.44079,221210,"NN-LDC,W-LDC",1155.9,1.4,1154.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004198,110071160441,CenterPoint Energy Entex (Louisiana),LA,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,221210,"NN-LDC,W-LDC",34799.9,41.9,34758,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004049,110071159240,CenterPoint Energy Entex (Mississippi),MS,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,221210,"NN-LDC,W-LDC",19999.85,24.1,19975.75,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005925,110071162239,CenterPoint Energy Entex (Texas),TX,Houston,TX,77002,P.O. Box 0305,HARRIS COUNTY,29.752554,-95.370401,221210,"NN-LDC,W-LDC",168762.7,203.2,168559.5,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
